analysis_universe	dataset	GSM	donor_id	gene	raw_pseudobulk_count	CPM	log2_CPM_plus_0_5	population_z_ddof0	equal_weight	final_six_gene_score
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	NOS3	181.0	89.79733584699724	6.4966115176209005	0.2780410585408698	0.16666666666666666	0.2823257640525523
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	FLT1	10799.0	1296.4594136411447	10.340917618025937	1.0716202115532134	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	KDR	2326.0	279.24480008605445	8.127967504319434	0.47125748499956216	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	VEGFA	19.0	2.2810194332050884	1.4756138259829292	0.3955597600187013	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	MAPK1	893.0	107.20791336063914	6.750980439162415	0.7573330905840485	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	AKT1	358.0	42.97920826775903	5.442253764816122	0.4071066799096385	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845002	Sample 2	NOS3	355.0	42.61904730462138	5.430253397651204	-2.02816084618979	0.16666666666666666	0.1791193968125623
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	FLT1	2551.0	713.6780268579059	9.48013993692918	-0.44326003490468846	0.16666666666666666	0.307433187932919
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	KDR	922.0	257.94243071853754	8.013699138915996	0.25110766560077685	0.16666666666666666	0.307433187932919
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	VEGFA	5.0	1.3988201232024813	0.9251032442683286	-0.07156653983548909	0.16666666666666666	0.307433187932919
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	MAPK1	366.0	102.39363301842162	6.685009901871114	0.6514504425102878	0.16666666666666666	0.307433187932919
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	AKT1	149.0	41.68483967143394	5.398652713239591	0.3513426293634109	0.16666666666666666	0.307433187932919
HIGHER_CELL_COUNT_7	GSE245561	GSM7845003	Sample 1	NOS3	419.0	117.22112632436793	6.879229440553425	1.105524964863216	0.16666666666666666	0.307433187932919
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	FLT1	84.0	716.7541277358249	9.486340555378451	-0.1352087858146048	0.16666666666666666	-0.7673493974860714
EXPANDED_DONOR_9	GSE165784	GSM5049905	Case 1	KDR	38.0	324.2459149281113	8.34316756748784	0.9081226337646975	0.16666666666666666	-0.7673493974860714
